algorithm,n,exectime (ms)
bubble-sort,10,0.729023
insertion-sort,10,0.774714
selection-sort,10,0.84259
insertion-sort,20,0.581174
selection-sort,20,0.672739
bubble-sort,20,0.766883
insertion-sort,30,0.598131
bubble-sort,30,0.708206
selection-sort,30,0.763745
bubble-sort,40,0.710146
insertion-sort,40,0.727017
selection-sort,40,0.755928
insertion-sort,50,0.662514
selection-sort,50,0.879404
bubble-sort,50,0.928551
insertion-sort,60,0.726369
selection-sort,60,0.898247
bubble-sort,60,1.06758
insertion-sort,70,0.841524
selection-sort,70,0.945552
bubble-sort,70,1.096887
insertion-sort,80,1.005851
selection-sort,80,1.11619
bubble-sort,80,1.514821
insertion-sort,90,1.066546
selection-sort,90,1.075021
bubble-sort,90,1.486569
insertion-sort,100,1.698791
bubble-sort,100,2.341754
selection-sort,100,2.629455
insertion-sort,110,1.359955
selection-sort,110,2.591861
bubble-sort,110,3.069629
insertion-sort,120,1.679897
selection-sort,120,1.586208
bubble-sort,120,2.08499
insertion-sort,130,1.496552
selection-sort,130,1.514286
bubble-sort,130,2.285012
selection-sort,140,1.551645
bubble-sort,140,4.571944
insertion-sort,140,4.653849
selection-sort,150,1.884607
insertion-sort,150,2.007665
bubble-sort,150,3.300886
selection-sort,160,2.478121
insertion-sort,160,2.543462
bubble-sort,160,3.636751
selection-sort,170,1.998756
insertion-sort,170,2.195883
bubble-sort,170,3.416832
selection-sort,180,2.290954
insertion-sort,180,2.674642
bubble-sort,180,4.018412
selection-sort,190,2.447331
insertion-sort,190,2.529423
bubble-sort,190,4.575292
insertion-sort,200,2.85958
selection-sort,200,2.856373
bubble-sort,200,4.853396
selection-sort,210,2.883864
insertion-sort,210,3.639302
bubble-sort,210,6.225772
insertion-sort,220,3.136323
selection-sort,220,3.164644
bubble-sort,220,5.728504
selection-sort,230,3.042036
insertion-sort,230,3.508895
bubble-sort,230,5.723045
insertion-sort,240,3.702241
selection-sort,240,4.511236
bubble-sort,240,6.294898
selection-sort,250,3.528168
insertion-sort,250,3.899021
bubble-sort,250,6.509226
insertion-sort,260,3.952423
bubble-sort,260,7.148251
selection-sort,260,7.245446
selection-sort,270,4.075231
insertion-sort,270,4.244125
bubble-sort,270,7.456489
selection-sort,280,4.147652
insertion-sort,280,4.603247
bubble-sort,280,9.181309
selection-sort,290,4.269593
insertion-sort,290,5.056692
bubble-sort,290,10.659478
selection-sort,300,4.615167
insertion-sort,300,5.35439
bubble-sort,300,9.25914
selection-sort,310,4.901059
insertion-sort,310,5.359586
bubble-sort,310,9.809785
selection-sort,320,5.158368
insertion-sort,320,6.120695
bubble-sort,320,12.11779
selection-sort,330,5.544953
insertion-sort,330,6.076556
bubble-sort,330,11.027753
selection-sort,340,5.814745
insertion-sort,340,6.553287
bubble-sort,340,11.686297
selection-sort,350,6.33642
insertion-sort,350,6.817904
bubble-sort,350,12.33709
selection-sort,360,6.525308
insertion-sort,360,7.257368
bubble-sort,360,12.810331
selection-sort,370,6.790122
insertion-sort,370,7.621636
bubble-sort,370,14.005765
selection-sort,380,6.922817
insertion-sort,380,7.910764
bubble-sort,380,14.188618
selection-sort,390,8.390424
insertion-sort,390,8.760216
bubble-sort,390,16.364944
selection-sort,400,7.58673
insertion-sort,400,8.587269
bubble-sort,400,15.838152
selection-sort,410,7.988038
insertion-sort,410,8.925511
bubble-sort,410,16.718132
selection-sort,420,8.114833
insertion-sort,420,9.222537
bubble-sort,420,17.483187
selection-sort,430,8.683197
insertion-sort,430,10.073972
bubble-sort,430,18.610765
selection-sort,440,9.250664
insertion-sort,440,10.411005
